CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Thailand,TH-Tier2,,,T2-TH-SUT,569548.3086,0,0,0,569548.3086
,,16000,8332800,Total,569548.3086,0,110973.8359,0,680522.1445,8.1667884084581
,,,,WallClock,71701.6867,,16011.7517,,87713.4384
Turkey,TR-Tier2-federation,,,TR-03-METU,0,0,302254.2129,0,302254.2129
Turkey,TR-Tier2-federation,,,TR-10-ULAKBIM,0,11952.4394,0,0,11952.4394
,,39200,20415360,Total,0,11952.4394,302254.2129,0,314206.6523,1.539069858675
,,,,WallClock,,3767.0506,58628.7886,,62395.8392
UK,UK-London-Tier2,,,UKI-LT2-Brunel,0,2086715.8225,4045488.6919,1276454.0992,7408658.6136
UK,UK-London-Tier2,,,UKI-LT2-IC-HEP,0,5473842.1306,5896871.4562,1082087.7986,12452801.3854
UK,UK-London-Tier2,,,UKI-LT2-QMUL,0,9952250.6297,214428.7602,529718.6896,10696398.0795
UK,UK-London-Tier2,,,UKI-LT2-RHUL,0,7722828.2537,275.9086,97360.2800,7820464.4423
UK,UK-London-Tier2,,,UKI-LT2-UCL-HEP,0,598.7988,0,0,598.7988
,,93216,48546892.8,Total,0,25236235.6353,10157064.8169,2985620.8674,38378921.3196,79.055360922296
,,,,WallClock,,2770031.5531,1334512.8259,330168.3225,4434712.7015
UK,UK-NorthGrid,,,UKI-NORTHGRID-LANCS-HEP,0,9120114.4255,0,675019.7878,9795134.2133
UK,UK-NorthGrid,,,UKI-NORTHGRID-LIV-HEP,0,5171534.2112,0,2116993.6888,7288527.9
UK,UK-NorthGrid,,,UKI-NORTHGRID-MAN-HEP,0,12053610.0934,0,2920987.0999,14974597.1933
UK,UK-NorthGrid,,,UKI-NORTHGRID-SHEF-HEP,0,3657446.8719,0,28681.6317,3686128.5036
,,72256,37630924.8,Total,0,30002705.602,0,5741682.2082,35744387.8102,94.986737637126
,,,,WallClock,,2644167.6664,,587298.022,3231465.6884
UK,UK-ScotGrid,,,UKI-SCOTGRID-DURHAM,0,1104.9237,0,1.6766,1106.6003
UK,UK-ScotGrid,,,UKI-SCOTGRID-ECDF,0,1809554.8779,0,334749.5498,2144304.4277
UK,UK-ScotGrid,,,UKI-SCOTGRID-GLASGOW,0,10226811.8145,0,1035110.7206,11261922.5351
,,37136,19340428.8,Total,0,12037471.6161,0,1369861.947,13407333.5631,69.32283509195
,,,,WallClock,,1474368.865,,152518.792,1626887.657
UK,UK-SouthGrid,,,EFDA-JET,0,313.2078,0,269.5411,582.7489
UK,UK-SouthGrid,,,UKI-SOUTHGRID-BHAM-HEP,4357626.7306,2202738.8167,0,568925.5000,7129291.0473
UK,UK-SouthGrid,,,UKI-SOUTHGRID-BRIS-HEP,0,702.9839,267299.7841,766158.7082,1034161.4762
UK,UK-SouthGrid,,,UKI-SOUTHGRID-CAM-HEP,0,1636744.5017,0,724913.4358,2361657.9375
UK,UK-SouthGrid,,,UKI-SOUTHGRID-OX-HEP,2047472.6214,5125274.2681,403818.6893,711035.0381,8287600.6169
UK,UK-SouthGrid,,,UKI-SOUTHGRID-RALPP,0,924944.2629,3486497.8993,4651906.2739,9063348.4361
UK,UK-SouthGrid,,,UKI-SOUTHGRID-SUSX,0,322650.2080,0,0,322650.208
,,71212,37087209.6,Total,6405099.352,10213368.2491,4157616.3727,7423208.4971,28199292.4709,76.035088039894
